4:44,熱,
5:19,船,
5:46,熱,
5:53,船,
6:3,上,
6:21,田,
6:40,船,
6:54,上,
7:8,熱,
7:26,熱,
7:43,熱,
7:54,品,
8:12,熱,
8:23,上,
8:29,逗,
8:40,熱,
9:1,逗,
9:15,平,
9:30,平,
9:42,快,逗
10:4,逗,
10:28,平,
10:41,快,逗
11:2,逗,
11:23,平,
11:41,快,逗
12:2,逗,
12:23,平,
12:41,快,逗
13:2,逗,
13:24,平,
13:39,快,逗
13:54,逗,
14:22,伊,
14:41,快,逗
14:57,逗,
15:21,上,
15:39,快,逗
16:2,逗,
16:17,国,
16:27,上,
16:44,快,逗
17:2,船,
17:21,熱,
17:44,上,
18:0,田,
18:8,逗,
18:32,船,
18:44,快,上
18:57,船,
19:19,平,
19:35,逗,
19:48,快,上
20:7,熱,
20:30,船,
20:43,快,上
20:56,国,
21:22,上,
21:42,上,
21:55,上,
22:27,上,
22:49,逗,
