4:44,熱,
5:21,船,
5:47,熱,
6:4,船,
6:21,熱,
6:40,上,
6:56,,
7:7,熱,
7:27,上,
7:43,上,
7:52,熱,
8:12,熱,
8:24,上,
8:36,熱,
8:42,快,逗
9:2,,
9:14,平,
9:30,平,
9:45,快,
10:4,,
10:13,平,
10:28,平,
10:41,快,逗
10:52,熱,
11:2,,
11:21,平,
11:42,快,逗
11:59,,
12:19,平,
12:41,快,逗
13:2,,
13:24,田,
13:39,快,逗
13:54,,
14:22,伊,
14:41,快,
15:2,,
15:20,田,
15:40,快,逗
16:0,,
16:20,田,
16:44,快,逗
17:3,,
17:21,熱,
17:42,田,
18:2,,
18:11,国,
18:31,,
18:46,快,上
19:7,平,
19:20,平,
19:36,船,
19:49,快,上
20:7,熱,
20:31,沼,
20:43,快,上
20:56,国,
21:15,平,
21:42,上,
21:56,上,
22:27,上,
22:49,宮,
